species,plantType,kingdom,phylum,AngioGymnosperm,dicotMonocot,class,order,family,raunkier,ecoregion,clonality,ramet,genet,Country,temporalReplication,start,end,spatialReplication,dimension,criteriaSize,criteriaStage,criteriaAge,criteria
Calochortus_tiburonensis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Geophyte,TGS,Genet,NA,NA,USA,3,1981,1983,1,3,Basal leaf maximum width,NA,NA,S
Camellia_japonica,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Theaceae,Mesophanerophyte,TBM,Genet,NA,NA,JPN,11,1992,2002,1,5,DBH,NA,NA,S
Camellia_japonica_2,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Theaceae,Mesophanerophyte,TBM,Genet,NA,NA,JPN,11,1992,2002,1,8,DBH,NA,NA,S
Campanula_americana,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Campanulaceae,Hemicryptophyte,TBM,Genet,NA,NA,USA,1,1986,1986,5,3,NA,Yes,NA,ST
Carapa_guianensis,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Meliaceae,Megaphanerophyte,TMB,Genet,NA,NA,BRA,3,2003,2005,1,29,DBH,NA,NA,S
Carduus_nutans,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,MED,Genet,NA,NA,FRA,4,1986,1989,3,4,Rosette area,Yes,NA,S.ST
Carduus_nutans_2,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TGS,Genet,NA,NA,NZL,4,1985,1988,2,4,Rosette area,Yes,NA,S.ST
Carex_aquatilis_ssp_stans,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Cyperaceae,Geophyte,TUN,Ramet,NA,NA,CAN,1,1996,1996,2,5,NA,Yes,NA,ST
Carex_bigelowii,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Cyperaceae,Geophyte,BOR,Genet,NA,NA,SWE,4,1984,1987,1,26,Yes,Yes,NA,S.ST
Carex_humilis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Cyperaceae,Geophyte,TBM,Genet,NA,NA,AUT,5,1993,1997,2,4,Leaf number,NA,NA,S
Carex_membranaceae,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Cyperaceae,Geophyte,TUN,Ramet,NA,NA,CAN,1,1996,1996,2,5,NA,Yes,NA,ST
Carlina_vulgaris,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,BOR,Ramet,NA,NA,SWE,1,1997,1997,8,3,Rosette diameter x leaf number,Yes,NA,S.ST
Carnegiea_gigantea,Succulent,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Cactaceae,Mesophanerophyte,DES,Genet,NA,NA,USA,2,1965,1966,1,15,Height,Yes,NA,S.ST
Carum_carvi,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Apiales,Caryocaraceae,Hemicryptophyte,TBM,Genet,NA,NA,SWE,4,2003,2006,3,5,"Rosette diameter, flower number, seed number",.,.,S
Cassia_nemophila,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Nanophanerophyte,DES,Genet,NA,NA,AUS,51,1925,1975,1,12,NA,Based on age,Yes,A
Catopsis_sessiliflora,Epiphyte,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Bromeliaceae,Epiphyte,TMB,Genet,NA,NA,MEX,3,2002,2004,1,5,Leaf length,Yes,NA,S.ST
Cecropia_obtusifolia,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Rosales,Cecropiaceae,Megaphanerophyte,TMB,Genet,NA,NA,MEX,8,1983,1990,1,8,DBH,NA,NA,S
Centaurea_corymbosa,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,MED,Genet,NA,NA,FRA,8,1994,2001,6,3,NA,Yes,NA,ST
Centaurea_horrida,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,MED,Genet,NA,NA,ITA,6,2004,2009,3,5,Diameter,Yes,NA,S.ST
Centaurea_jacea,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TBM,Genet,NA,NA,NLD,5,1999,2003,5,6,Leaf size & Flowering stem number,Based on size,NA,S.ST
Centaurea_maculosa,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TBM,Ramet,NA,NA,USA,3,2001,2003,4,5,NA,Yes,NA,ST
Ceratozamia_mirandae,Palm,Plantae,Cycadophyta,Gymnosperm,NA,Cycadophyta,Cycadales,Zamiaceae,Nanophanerophyte,TMB,Genet,NA,NA,MEX,3,NA,NA,2,9,"Height, diameter, leaf number per trunk, leaf bases number",NA,NA,S
Ceratozamia_norstogii,Palm,Plantae,Cycadophyta,Gymnosperm,NA,Cycadophyta,Cycadales,Zamiaceae,Nanophanerophyte,TMB,Genet,NA,NA,MEX,4,2007,2010,2,7,Stem volume,Yes,NA,S.ST
Chamaecrista_keyensis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Hemicryptophyte,TCF,Genet,NA,NA,USA,4,1998,2001,4,8,Stem length,Based on size,NA,S
Chamaedorea_radicalis,Palm,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Nanophanerophyte,TSC,Genet,NA,NA,MEX,3,2003,2005,1,5,Leaf number,Based on size,NA,S
Chamaedorea_radicalis_2,Palm,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Nanophanerophyte,MED,Genet,NA,NA,MEX,3,1999,2001,2,5,Leaf number,Based on size,NA,S
Chamaelirium_luteum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Hemicryptophyte,TBM,Genet,NA,NA,USA,5,1975,1979,3,24,Leaf number,Based on size,NA,S
Cheirolophus_metlesicsii,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,MED,Genet,NA,NA,ESP,6,2001,2006,1,3,Stem diameter,Yes,NA,S.ST
Chlorocardium_rodiei,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Laurales,Lauraceae,Megaphanerophyte,TMB,Genet,NA,NA,GUY,5,1991,1995,1,15,Leaf density & DBH,NA,NA,S
Choerospodnias_axillaris,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Anacardiaceae,Mesophanerophyte,TMB,Genet,NA,NA,THA,3,2002,2004,4,6,Canopy area,NA,NA,S
Cimicifuga_elata,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Geophyte,TCF,Genet,NA,NA,USA,6,1992,1997,5,5,Number of leafes,Based on size,NA,S
Cimicifuga_rubifolia,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ranunculales,Ranunculaceae,Geophyte,TMB,Genet,NA,NA,USA,4,1987,1990,2,6,Petiole length; leaflet width; leaf length; leaf width; leaf number; leaflet number,NA,NA,S
Cirsium_acaule,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TBM,Genet,NA,NA,CZE,5,2001,2005,3,3,NA,Yes,NA,ST
Cirsium_acaule_2,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TBM,Genet,NA,NA,GBR,NA,NA,NA,6,4,NA,Yes,NA,ST
Cirsium_arvense,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TBM,Genet,NA,NA,USA,4,1993,1996,2,3,NA,Yes,NA,ST
Cirsium_dissectum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TBM,Ramet,NA,NA,NLD,5,1999,2003,3,6,Number of rosette leaves; maximum leaf length,Yes,NA,S.ST
Cirsium_palustre,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,FGS,Genet,NA,NA,SWE,4,2002,2005,2,6,Rosette diameter & Flower number,Based on size,Yes,S.ST.A
Cirsium_pannonicum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TBM,Genet,NA,NA,CZE,5,2001,2005,2,3,NA,Yes,NA,ST
Cirsium_perplexans,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TCF,Genet,NA,NA,USA,4,2001,2004,2,4,NA,Yes,NA,ST
Cirsium_pitcheri,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TBM,Genet,NA,NA,USA,2,1999,2000,2,8,Yes,Yes,NA,S.ST
Cirsium_pitcheri_2,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TGS,Genet,NA,NA,USA,4,2001,2004,NA,4,NA,Yes,NA,ST
Cirsium_scariosum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TCF,Genet,NA,NA,USA,3,2002,2004,1,4,NA,Yes,NA,ST
Cirsium_undulatum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TGS,Genet,NA,NA,USA,30,1943,1972,1,2,NA,NA,Yes,A
Cirsium_undulatum_var_tracyi,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TCF,Genet,NA,NA,USA,4,2001,2004,NA,4,NA,Yes,NA,ST
Cirsium_vulgare,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TBM,Genet,NA,NA,GBR,6,1987,1992,1,9,Rosette size,Based on size,NA,S.ST
Cirsium_vulgare_2,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,TGS,Genet,NA,NA,USA,NA,NA,NA,NA,4,Diameter,Yes,NA,S.ST
Cleistes_varicata_var_bifaria,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Orchidaceae,Geophyte,TBM,Ramet,NA,NA,USA,8,1983,1990,3,5,Leaf number,Yes,NA,S.ST
Cleistes_varicata_var_divaricata,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Orchidaceae,Geophyte,TBM,Ramet,NA,NA,USA,6,1985,1990,1,5,Leaf number,Yes,NA,S.ST
Cleome_droserifolia,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Capparaceae,Chamaephyte,DES,Genet,NA,NA,EGY,NA,NA,NA,1,15,Canopy volume,Yes,NA,S.ST
Clidemia_hirta,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Myrtales,Melastomataceae,Nanophanerophyte,TBM,Genet,NA,NA,USA,4,1998,2001,2,5,Biomass,Based on size,NA,S
Clintonia_borealis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Geophyte,TBM,Ramet,NA,NA,USA,4,1979,1982,3,3,Leaf size,NA,NA,S
Coccothrinax_readii,Palm,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Mesophanerophyte,TMB,Genet,NA,NA,MEX,2,1987,1988,1,9,Height,Based on age,Yes,S.A
Cochlearia_bavarica,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Hemicryptophyte,TCF,Genet,NA,NA,DEU,2,1996,1997,26,5,NA,Yes,NA,ST
Cochlearia_pyrenaica,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Brassicales,Brassicaceae,Hemicryptophyte,TCF,Genet,NA,NA,DEU,2,1996,1997,26,5,NA,Yes,NA,ST
Commelina_benghalensis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Commelinales,Commelinaceae,Hemicryptophyte,TBM,Genet,NA,NA,"ZAF, USA",NA,2004,NA,4,6,NA,Yes,Yes,ST.A
Commelina_bracteosa,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Commelinales,Commelinaceae,Hemicryptophyte,DES,Genet,NA,NA,"ZAF, USA",NA,2004,NA,1,6,NA,Yes,NA,ST
Corallorhiza_trifida,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Orchidaceae,Geophyte,TBM,Genet,NA,NA,ESP,6,2001,2006,1,3,NA,Yes,NA,ST
Cornus_florida,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Cornales,Cornaceae,Nanophanerophyte,TBM,Genet,NA,NA,USA,5,2001,2005,1,3,NA,Yes,Yes,ST.A
Coryphanta_robbinsorum,Succulent,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Cactaceae,Chamaephyte,DES,Ramet,NA,NA,USA,4,1990,1993,1,4,Stem diameter,Based on size,NA,S
Cryptantha_flava,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Boraginaceae,Hemicryptophyte,DES,Genet,NA,NA,USA,3,1997,1999,1,6,Height & rosette number,Based on size,NA,S
Cynoglossum_officinalis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Boraginaceae,Hemicryptophyte,TBM,Genet,NA,NA,GBR,4,1973,1976,10,4,NA,Yes,NA,ST
Cynoglossum_virginianum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Boraginaceae,Hemicryptophyte,TBM,Genet,NA,NA,USA,14,1979,1992,1,7,Leaf number,Based on size,NA,S
Cypripedium_acaule,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Orchidaceae,Geophyte,TBM,Genet,NA,NA,USA,4,1982,1985,NA,8,Leaf number,Yes,Yes,S.ST.A
Cypripedium_calceolus,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Orchidaceae,Geophyte,TBM,Genet,NA,NA,POL,12,1989,2000,3,10,Stem number,Yes,Yes,S.ST.A
Cypripedium_fasciculatum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Orchidaceae,Geophyte,TCF,Genet,NA,NA,USA,9,1999,2007,29,4,Length of longest leaf,NA,NA,S
Cypripedium_lentiginosum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Orchidaceae,Geophyte,TMB,Genet,NA,NA,CHN,NA,NA,NA,1,20,NA,NA,Yes,A
Cytisus_scoparius,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Nanophanerophyte,TBM,Genet,NA,NA,USA,2,1993,1994,1,7,Weight,Based on size,NA,S
Dacrydium_elatum,Tree,Plantae,Pinophyta,Gymnosperm,NA,Pinopsida,Pinales,Podocarpaceae,Mesophanerophyte,TMB,Genet,NA,NA,VNM,3,2003,2005,1,15,Height & DBH,NA,NA,S
Dactylorhiza_lapponica,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Asparagales,Orchidaceae,Hemicryptophyte,BOR,Genet,NA,NA,NOR,17,1990,2006,2,4,NA,Yes,NA,ST
Danthonia_sericea,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Hemicryptophyte,TBM,Genet,NA,NA,USA,2,1983,1984,1,6,Leaf number,NA,NA,S
Daucus_carota,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Apiales,Apiaceae,Hemicryptophyte,TBM,Genet,NA,NA,NLD,4,1980,1983,NA,4,NA,Yes,NA,ST
Dendropanax_trifidus,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Theaceae,Mesophanerophyte,TBM,Genet,NA,NA,JPN,11,1992,2002,1,5,DBH,NA,NA,S
Dicerandra_frutescens,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Lamiaceae,Chamaephyte,TCF,Genet,NA,NA,USA,13,1988,2000,8,6,Number of branch tips,Based on size,NA,S
Dicorynia_guianensis,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Mesophanerophyte,TMB,Genet,NA,NA,GUF,3,1984,1986,1,9,"DBH, girth at breast height",NA,NA,S
Dicymbe_altsonii,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Fabaceae,Megaphanerophyte,TMB,Genet,NA,NA,GUY,5,1991,1995,1,15,Leaf density & DBH,NA,NA,S
Digitalis_purpurea,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Plantaginaceae,Hemicryptophyte,MED,Ramet,NA,NA,NA,4,1978,1981,1,5,NA,Yes,NA,ST
Digitaria_eriantha,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Poaceae,Geophyte,TGV,Genet,NA,NA,ZAF,6,1984,1989,2,3,Tuft circumference,NA,NA,S
Dioon_caputoi,Palm,Plantae,Cycadophyta,Gymnosperm,NA,Cycadophyta,Cycadales,Zamiaceae,Mesophanerophyte,TSC,Genet,NA,NA,MEX,4,2003,2006,2,5,Stem volume,NA,NA,S
Dioon_edule,Palm,Plantae,Cycadophyta,Gymnosperm,NA,Cycadophyta,Cycadales,Zamiaceae,Mesophanerophyte,TMB,Genet,NA,NA,MEX,3,2002,2004,3,5,NA,Yes,NA,ST
Dioon_spinulosum,Palm,Plantae,Cycadophyta,Gymnosperm,NA,Cycadophyta,Cycadales,Zamiaceae,Mesophanerophyte,TMB,Genet,NA,NA,MEX,2,2007,2008,2,6,"Height, DBH & leaf number",NA,NA,S
Dipsacus_sylvestris_2,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Dipsacales,Dipsacaceae,Hemicryptophyte,TBM,Genet,NA,NA,USA,6,1964,1969,8,7,Rosette size,Based on size,NA,S
Disporum_sessile,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Hemicryptophyte,TBM,Ramet,NA,NA,JPN,8,1979,1986,1,13,NA,Yes,NA,ST
Disporum_smilacinum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Hemicryptophyte,TBM,Ramet,NA,NA,JPN,8,1979,1986,2,6,NA,Yes,NA,ST
Dodonaea_angustifolia,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Sapindaceae,Nanophanerophyte,TGV,Genet,NA,NA,ETH,3,1994,1996,4,4,Plant height,NA,NA,S
Dracaena_cinnabari,Tree,Plantae,Magnoliophyta,Angiosperm,Monocot,Magnoliopsida,Asparagales,Agavaceae,Mesophanerophyte,MED,Genet,NA,NA,YEM,9,1999,2007,1,16,Branch number,Yes,NA,S.ST
Duguetia_neglecta,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Magnoliales,Annonaceae,Megaphanerophyte,TMB,Genet,NA,NA,GUY,5,1991,1995,1,12,Height & DBH,NA,NA,S
Echeveria_longissima,Succulent,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Saxifragales,Crassulaceae,Chamaephyte,DES,Ramet,NA,NA,MEX,3,2002,2004,1,5,Canopy area,NA,NA,S
Echinacea_angustifolia,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Geophyte,TGS,Genet,NA,NA,USA,33,1939,1971,1,2,NA,NA,Yes,A
Echinocactus_platyacanthus,Succulent,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Cactaceae,Nanophanerophyte,DES,Genet,NA,NA,MEX,3,1997,1999,6,6,Diameter & Height,Based on size,NA,S
Echium_vulgare,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Boraginaceae,Hemicryptophyte,TGS,Genet,NA,NA,USA,4,1976,1979,2,4,NA,Yes,NA,ST
Encephalartos_cycadifolius,Palm,Plantae,Cycadophyta,Gymnosperm,NA,Cycadophyta,Cycadales,Zamiaceae,Nanophanerophyte,TMB,Genet,NA,NA,ZAF,9,1989,1997,2,9,Stem length,Based on size,NA,S
Encephalartos_villosus,Palm,Plantae,Cycadophyta,Gymnosperm,NA,Cycadophyta,Cycadales,Zamiaceae,Nanophanerophyte,TMB,Genet,NA,NA,ZAF,9,1989,1997,2,9,Stem length,Based on size,NA,S
Entandrophragma_cylindricum,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Sapindales,Meliaceae,Megaphanerophyte,TDB,Genet,NA,NA,CAF,3,1992,1994,1,7,DBH,NA,NA,S
Eperua_falcata,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fabales,Caesalpiniaceae,Megaphanerophyte,TMB,Genet,NA,NA,GUF,3,1984,1986,1,6,DBH,NA,NA,S
Epilobium_latifolium,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Myrtales,Onagraceae,Hemicryptophyte,TUN,Genet,NA,NA,USA,3,1987,1989,1,5,Height,NA,NA,S
Eremophila_forrestii,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Myoporaceae,Nanophanerophyte,DES,Genet,NA,NA,AUS,11,1983,1993,1,4,Canopy height,Based on age,Yes,S.A
Eremophila_maitlandii,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Lamiales,Myoporaceae,Nanophanerophyte,DES,Genet,NA,NA,AUS,11,1983,1993,1,4,Canopy height,Based on age,Yes,S.A
Eremospatha_macrocarpa,Liana,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Nanophanerophyte,TMB,Genet,NA,NA,CIV,3,2003,2005,1,4,Stem length,Yes,NA,S.ST
Erica_ciliaris,Shrub,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Ericales,Ericaceae,Chamaephyte,TBM,Genet,NA,NA,GBR,NA,NA,NA,NA,NA,NA,NA,NA,NA
Erigeron_kachinensis,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Hemicryptophyte,DES,Genet,NA,NA,USA,5,1990,1994,1,5,Rosette number,NA,NA,S
Eriogonum_longifolium_var_gnaphalifolium,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Polygonaceae,Hemicryptophyte,TCF,Genet,NA,NA,USA,3,1996,1998,2,5,Yes,Based on size,Yes,S
Eriophorum_angustifolium_ssp_triste,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Poales,Cyperaceae,Geophyte,BOR,Ramet,NA,NA,CAN,1,1996,1996,2,4,NA,Yes,NA,ST
Eryngium_alpinum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Apiales,Apiaceae,Hemicryptophyte,TBM,Genet,NA,NA,FRA,10,2001,2010,7,4,leaf number; petiole lenght,NA,Yes,S.A
Eryngium_cuneifolium,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Apiales,Apiaceae,Hemicryptophyte,TCF,Genet,NA,NA,USA,10,1990,1999,1,6,"Basal diameter,; number of flowering stems",Yes,NA,S.ST
Erythronium_japonicum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Liliales,Liliaceae,Geophyte,TBM,Genet,NA,NA,JPN,8,1979,1986,1,14,Leaf size,Based on size,NA,S
Escontria_chiotilla,Succulent,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Caryophyllales,Cactaceae,Nanophanerophyte,DES,Genet,NA,NA,MEX,2,1999,2000,1,12,Main stalk length & ramification number,Based on size,NA,S
Espeletia_spicata,Succulent,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Nanophanerophyte,DES,Genet,NA,NA,VEN,7,1978,1984,1,6,Height of stem from soil to rosette,Based on size,NA,S
Espeletia_timotensis,Succulent,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Nanophanerophyte,DES,Genet,NA,NA,VEN,7,1976,1982,1,6,Height of stem from soil to rosette,Based on size,.,S
Eupatorium_perfoliatum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Helophyte,FGS,Ramet,NA,NA,USA,3,1989,1991,3,5,NA,Yes,NA,ST
Eupatorium_resinosum,Herbaceous perennial,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Asterales,Asteraceae,Helophyte,TBM,Ramet,NA,NA,USA,3,1989,1991,3,5,NA,Yes,NA,ST
Euterpe_edulis,Palm,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Mesophanerophyte,TMB,Genet,NA,NA,BRA,4,1991,1994,1,7,Diameter at soil,Yes,NA,S.ST
Euterpe_precatoria,Palm,Plantae,Magnoliophyta,Angiosperm,Monocot,Liliopsida,Arecales,Arecaceae,Mesophanerophyte,TMB,Genet,NA,NA,BOL,3,1997,1999,1,11,Leaf length,NA,NA,S
Fagus_crenata,Tree,Plantae,Magnoliophyta,Angiosperm,Eudicot,Magnoliopsida,Fagales,Fagaceae,Megaphanerophyte,TBM,Genet,NA,NA,JPN,6,1981,1986,3,8,DBH,NA,NA,S
